Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_51_973.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_040.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_106.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_173.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_240.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_306.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_373.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_440.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_506.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_573.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_640.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_706.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_773.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_840.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_906.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_52_973.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_040.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_106.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_172.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_240.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_306.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_373.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_439.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_506.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_573.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_640.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_706.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_772.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_840.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_907.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_53_973.jpg;0;0.199998;0;0;99.67052;85.58979;0.02196243;56.80301;-8.1763E-06
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_040.jpg;0;0.3988892;0;0.01847245;99.67172;85.59164;0.06902865;56.76562;3.334889E-05
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_106.jpg;0;0.5986412;0;0.03723533;99.67364;85.59458;0.1374941;56.824;1.780257E-05
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_172.jpg;0;0.7985011;0;0.08395049;99.67882;85.60247;0.320031;56.70776;0.0002572233
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_239.jpg;0;0.9978211;0;0.1266523;99.68569;85.61287;0.5427666;56.60925;-0.0005671046
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_305.jpg;0;1;0;0.1822459;99.69405;85.6255;0.7748809;56.62103;8.864048E-05
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_372.jpg;0;1;0;0.2367596;99.70824;85.64692;1.120308;56.5567;-0.000566587
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_439.jpg;0;1;0;0.2890593;99.71961;85.66386;1.296469;56.445;-0.002314399
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_506.jpg;0;1;0;0.3544403;99.73132;85.68169;1.282426;56.47781;-0.001663407
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_573.jpg;0;1;0;0.4199773;99.7487;85.70798;1.142689;56.54505;-0.001136919
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_640.jpg;0;1;0;0.4677259;99.76461;85.73196;1.119228;56.6369;-0.000124061
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_706.jpg;0;1;0;0.5312504;99.78194;85.75811;1.124681;56.695;0.0003871809
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_773.jpg;0;1;0;0.5593757;99.80811;85.79755;1.188102;56.63586;-0.0002231764
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_840.jpg;0;1;0;0.620953;99.82985;85.8303;1.237669;56.58606;-0.0006556109
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_906.jpg;0;1;0;0.6814053;99.85234;85.86417;1.222388;56.49925;0.0001052516
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_54_973.jpg;0;1;0;0.7316685;99.88518;85.91333;1.195688;56.48409;-0.001171152
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_041.jpg;0;1;0;0.7850589;99.91223;85.95385;1.206077;56.43404;-0.000669827
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_106.jpg;0;1;0;0.859556;99.94093;85.99677;1.216088;56.4085;-0.0004952469
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_173.jpg;0;1;0;0.9010243;99.98163;86.05756;1.21406;56.40998;-8.478274E-05
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_240.jpg;0;1;0;0.9617986;100.0142;86.10625;1.214084;56.39567;-0.0008426504
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_306.jpg;0;1;0;1.017365;100.0482;86.15703;1.21265;56.36532;-0.0002833028
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_373.jpg;0;1;0;1.069889;100.0965;86.22899;1.228256;56.3515;-0.0008275768
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_440.jpg;0;1;0;1.119575;100.1344;86.28551;1.226256;56.34386;-0.0008306451
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_506.jpg;0;1;0;1.182868;100.1739;86.34435;1.225623;56.34736;-0.0009868412
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_573.jpg;0;1;0;1.227625;100.2289;86.42632;1.228915;56.3263;-0.0008275504
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_640.jpg;0;1;0;1.270312;100.2721;86.49058;1.234226;56.30089;-0.000745624
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_706.jpg;0;1;0;1.33674;100.3169;86.55719;1.239918;56.27755;-0.0008269934
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_773.jpg;0;1;0;1.381763;100.379;86.64954;1.241142;56.25538;-0.0008519725
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_841.jpg;0;1;0;1.43076;100.4276;86.72157;1.244941;56.24091;-0.0009455106
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_907.jpg;0;1;0;1.492507;100.4777;86.79599;1.251381;56.22472;-0.0009216017
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_55_973.jpg;0;1;0;1.539176;100.547;86.8987;1.254237;56.21128;-0.0009645417
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_040.jpg;0;1;0;1.586586;100.6008;86.97847;1.259773;56.19849;-0.0009728433
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_107.jpg;0;1;0;1.648258;100.6562;87.0605;1.263396;56.18855;-0.001006551
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_173.jpg;0;1;0;1.693609;100.7325;87.17344;1.268702;56.17388;-0.001027608
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_240.jpg;0;1;0;1.740312;100.7916;87.26082;1.275125;56.1627;-0.001060409
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_306.jpg;0;1;0;1.801366;100.8522;87.35042;1.277502;56.15055;-0.001040609
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_373.jpg;0;1;0;1.846005;100.9354;87.47341;1.284271;56.13741;-0.00108291
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_440.jpg;-3.002942;1;0;1.892112;101.0004;87.56754;1.280317;55.93418;-9.292445E-05
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_506.jpg;-6.001518;1;0;1.950621;101.0684;87.66286;1.279344;55.44199;0.001479612
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_573.jpg;-9.006842;1;0;1.994139;101.165;87.79061;1.278264;54.26157;359.9868
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_640.jpg;-6.008851;1;0;2.037218;101.2405;87.88799;1.28129;53.38412;359.9819
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_706.jpg;-3.012571;1;0;2.097391;101.3178;87.98759;1.29082;52.77765;0.0008210317
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_773.jpg;-0.005085468;1;0;2.142766;101.4234;88.12371;1.307219;52.46201;-0.0005351618
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_840.jpg;0;1;0;2.186253;101.5044;88.22827;1.314039;52.41726;-0.001139554
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_906.jpg;0;1;0;2.24543;101.587;88.33475;1.312752;52.39911;-0.001218308
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_56_973.jpg;0;1;0;2.289187;101.6998;88.48005;1.320319;52.38258;-0.001259304
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_040.jpg;0;1;0;2.332826;101.7863;88.59135;1.322869;52.37187;-0.001256076
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_107.jpg;0;1;0;2.391094;101.8744;88.70471;1.32617;52.35978;-0.001279669
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_174.jpg;0;1;0;2.434409;101.9945;88.85902;1.330396;52.34616;-0.001305719
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_240.jpg;0;1;0;2.477889;102.0863;88.97707;1.329369;52.33301;-0.001295256
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_307.jpg;0;1;0;2.535191;102.1799;89.09719;1.331495;52.32105;-0.001311404
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_373.jpg;0;1;0;2.577998;102.3071;89.26051;1.337974;52.3053;-0.001330969
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_440.jpg;0;1;0;2.620682;102.4044;89.38535;1.343922;52.29364;-0.001354431
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_507.jpg;0;1;0;2.677418;102.5033;89.51218;1.349334;52.28217;-0.001390302
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_574.jpg;0;1;0;2.719831;102.6376;89.68434;1.354081;52.26711;-0.001417073
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_640.jpg;0;1;0;2.762112;102.7402;89.81573;1.355338;52.25579;-0.001429137
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_707.jpg;0;1;0;2.818252;102.8443;89.94907;1.354915;52.24423;-0.001406772
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_774.jpg;0;1;0;2.860163;102.9856;90.12998;1.359944;52.22785;-0.001314755
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_840.jpg;0;1;0;2.901647;103.0935;90.26795;1.365108;52.2141;-0.001445235
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_907.jpg;0;1;0;2.957181;103.2029;90.40781;1.366615;52.20171;-0.001467974
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_57_974.jpg;0;1;0;2.998658;103.3511;90.59731;1.367914;52.18634;-0.0010158
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_58_040.jpg;0;1;0;3.039676;103.4642;90.74169;1.371912;52.17084;-0.001479747
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_58_107.jpg;0;1;0;3.094582;103.5787;90.88794;1.371802;52.15751;-0.001488367
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_58_173.jpg;0;1;0;3.135288;103.734;91.08599;1.379039;52.13827;-0.001513592
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_58_240.jpg;0;1;0;3.176184;103.8522;91.23673;1.38197;52.12564;-0.001077456
/Users/pavankumar/Documents/MyCourses/Udacity /Robotics Software Engineer /aProjects Folder/Autonomous_Nav_Mapping_Roversim/IMG/robocam_2020_05_01_10_02_58_307.jpg;0;1;0;3.230193;103.9719;91.38933;1.385124;52.10945;-0.001541512
